Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Pass,00:43:47:210,Successful,Basic,-,-,High,Berk,18,Helmond Sport O17,88,18,-,Kaan,5,87,5,-,-,-,-,-,-,-1,-13,13,-94.4,lateral
Pass,00:43:48:790,Successful,Cross,-,-,Medium,Kaan,5,Helmond Sport O17,88,6,-,Rayen B.,22,86,66,-,-,-,-,-,-,-2,60,60,91.9,lateral
Penalty Box Entries,00:43:53:340,-,-,-,-,-,Rayen B.,22,Helmond Sport O17,85,67,-,-,-,-,-,-,Right,-,-,-,-,,,,,
Duel,00:43:53:380,Won,Ground,-,-,-,Rayen B.,22,Helmond Sport O17,85,67,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:43:53:380,Lost,Ground,-,-,-,Senn Talakua,2,Den Bosch O17,85,67,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:43:54:310,Successful,Basic,-,-,High,Rayen B.,22,Helmond Sport O17,85,69,-,Elvi,9,90,67,-,-,-,-,-,-,5,-2,5,-21.8,forward
Pass,00:43:57:610,Successful,Basic,-,-,High,Elvi,9,Helmond Sport O17,95,73,-,Rayen B.,22,89,86,-,-,-,-,-,-,-6,13,14,114.8,lateral
Pass,00:44:00:420,Successful,Basic,-,-,Medium,Rayen B.,22,Helmond Sport O17,86,86,-,Jorg,3,66,85,-,-,-,-,-,-,-20,-1,20,-177.1,backward
Pass,00:44:04:280,Unsuccessful,Basic,-,-,High,Jorg,3,Helmond Sport O17,68,85,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:44:24:030,Successful,Throw-in,-,-,Low,Senn Talakua,2,Den Bosch O17,82,97,-,Thijs Mendonca,22,72,92,-,-,-,-,-,-,-10,-5,11,-153.4,backward
