Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Pass,01:33:26:780,Unsuccessful,Basic,Regular,-,High,Noach Shenkman,6,AFC O19,49,71,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:33:27:240,Successful,-,-,-,-,Enzo,5,FC Emmen O19,58,85,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:33:27:950,Successful,Basic,Regular,-,Medium,Enzo,5,FC Emmen O19,57,84,-,D' Angelo,12,37,10,-,-,-,-,-,-
Attacking Third Entry,01:33:39:400,-,-,-,-,-,D' Angelo,12,FC Emmen O19,27,67,-,-,-,-,-,-,Center,-,-,-,-
Pass,01:33:40:290,Unsuccessful,Through Ball,Regular,-,High,D' Angelo,12,FC Emmen O19,23,70,-,-,-,-,-,-,-,-,-,-,-
Gk Distribution,01:33:58:140,Successful,-,-,-,-,Diaz Baars,5,AFC O19,5,42,-,Storm Huijsman,20,5,61,-,-,Kick,-,-,-
Pass,01:34:01:610,Successful,Basic,Regular,-,Medium,Storm Huijsman,20,AFC O19,6,59,-,Diaz Baars,5,8,38,-,-,-,-,-,-
Pass,01:34:04:760,Successful,Basic,Regular,-,Medium,Diaz Baars,5,AFC O19,13,29,-,Tarik Serdar,11,32,21,-,-,-,-,-,-
Pass,01:34:07:120,Unsuccessful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,27,22,-,-,-,-,-,-,-,-,-,-,-
Substitute,01:34:34:930,-,Tactical,-,-,-,Milan Engelander,10,AFC O19,48,97,-,Ilyas Kacen,16,-,-,-,-,-,-,-,-
Substitute,01:34:38:100,-,Tactical,-,-,-,Rody Schouren,19,AFC O19,47,96,-,Aziz Akachar,8,-,-,-,-,-,-,-,-
Pass,01:34:57:410,Successful,Throw-in,Regular,-,Low,Ilias,2,FC Emmen O19,25,4,-,D' Angelo,12,21,7,-,-,-,-,-,-
Pass,01:34:58:150,Successful,Basic,Regular,-,Medium,D' Angelo,12,FC Emmen O19,22,9,-,Ilias,2,27,5,-,-,-,-,-,-
Defensive Action,01:35:00:540,Successful,-,-,-,-,Tarik Serdar,11,AFC O19,27,6,-,-,-,-,-,Tackle,-,-,-,-,-
Pass,01:35:01:460,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,36,4,-,Aziz Akachar,8,37,11,-,-,-,-,-,-
Pass,01:35:02:030,Successful,Basic,Regular,-,High,Aziz Akachar,8,AFC O19,38,10,-,Tarik Serdar,11,59,4,-,-,-,-,-,-
